aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
8700.0,291,169,Campo Comprido,1,Curitiba,2948475415,1350.0,3,NaN,-25.4397975,-49.34011479999999,3,3,0.0
1000.0,84,84,Centro,1,Curitiba,2947581504,550.0,1,34,-25.4316262,-49.261017100000004,2,0,270000.0
1500.0,60,40,Cristo Rei,1,Curitiba,2937079545,350.0,0,1,-25.4349859,-49.254983100000004,1,0,0.0
10500.0,391,282,Mossunguê,1,Curitiba,2944207030,2116.0,3,NaN,-25.4358228,-49.32961990000001,4,4,0.0
2100.0,80,46,Água Verde,1,Curitiba,2948319435,350.0,1,NaN,-25.456711,-49.2897715,1,0,0.0
1900000.0,448,306,Mercês,5,Curitiba,2945859097,1600.0,3,NaN,-25.4247876,-49.28259159999999,4,4,0.0
1650.0,27,27,Alto da XV,1,Curitiba,2948680063,384.0,1,1,-25.4271538,-49.2488975,1,0,0.0
2300.0,165,126,Bigorrilho,2,Curitiba,2946095506,1551.0,2,NaN,-25.4323423,-49.30008699999996,3,1,650000.0
1400.0,81,64,Boa Vista,1,Curitiba,2948917920,450.0,1,1,-25.3879597,-49.243081,2,0,0.0
1550.0,159,159,Cristo Rei,1,Curitiba,2924943103,630.0,3,NaN,-25.4327284,-49.2530402,0,41,0.0
1300.0,40,29,Centro,1,Curitiba,2925420413,280.0,0,1,-25.4365083,-49.262565499999994,0,0,0.0
10500.0,380,282,Ecoville,4,Curitiba,2945034843,1720.0,3,9,-25.43573570251465,-49.32962417602539,4,4,0.0
2500.0,114,84,Bacacheri,2,Curitiba,2948571275,605.0,2,6,-25.398937225341797,-49.238372802734375,2,1,0.0
3500.0,145,145,Bigorrilho,3,Curitiba,2946484624,900.0,1,NaN,-25.43165397644043,-49.29013442993164,3,1,0.0
1750.0,27,27,Alto da XV,1,Curitiba,2948680121,384.0,0,1,-25.4271538,-49.2488975,1,0,0.0
1200.0,95,95,Bacacheri,1,Curitiba,2934780578,190.0,3,NaN,-25.396448,-49.2327404,0,47,0.0
1200.0,50,35,Cristo Rei,1,Curitiba,2937080098,350.0,0,1,-25.4349859,-49.254983100000004,1,0,0.0
1300.0,40,29,Centro,1,Curitiba,2925420413,280.0,0,1,-25.4365083,-49.262565499999994,0,0,0.0
1600.0,69,36,Centro,1,Curitiba,2932469369,360.0,1,6,-25.427486419677734,-49.280364990234375,1,0,0.0
1200.0,76,76,Cabral,1,Curitiba,2948641062,298.0,2,NaN,-25.4092702,-49.2515755,0,39,0.0
2000.0,62,26,Bigorrilho,1,Curitiba,2948922338,220.0,0,1,-25.426908493041992,-49.28542709350586,1,1,0.0
2300.0,198,129,Ecoville,2,Curitiba,2934092119,600.0,2,6,-25.450286865234375,-49.319271087646484,3,1,550000.0
1370.0,110,110,Cajuru,1,Curitiba,2948688447,0.0,0,NaN,-25.478178,-49.198395,1,1,0.0
1350.0,97,54,Portão,1,Curitiba,2936089039,583.0,1,NaN,-25.471294403076172,-49.29154968261719,2,1,0.0
1250.0,30,30,Centro,1,Curitiba,2948794346,495.0,0,10,-25.4351674,-49.2754909,1,0,0.0
800.0,57,57,Tingui,1,Curitiba,2948503141,290.0,1,NaN,-25.3851581,-49.2212502,2,0,0.0
1450.0,80,80,Bacacheri,2,Curitiba,2948805384,385.0,1,NaN,-25.4068267,-49.2210483,3,1,0.0
2400.0,93,70,Ecoville,2,Curitiba,2945785620,445.0,1,10,-25.446409225463867,-49.355316162109375,3,1,450000.0
1050.0,44,44,Centro,1,Curitiba,2948709568,300.0,0,NaN,-25.4291336,-49.2692175,1,1,0.0
3500.0,226,226,Mossunguê,3,Curitiba,2947780001,1100.0,2,NaN,-25.4367591,-49.329915,2,2,0.0
1100.0,51,51,Centro,0,Curitiba,2935489025,346.0,1,NaN,-25.4361748,-49.2686592,0,6,0.0
2200.0,34,34,Centro,1,Curitiba,2948910585,850.0,0,3,-25.4351674,-49.2754909,1,0,0.0
900.0,23,23,Bigorrilho,1,Curitiba,2948196781,363.0,1,NaN,-25.428549,-49.29618099999999,1,1,0.0
1150.0,110,110,Bacacheri,2,Curitiba,2947109531,300.0,1,10,-25.4037395,-49.244055,3,0,0.0
1490.0,26,26,Rebouças,1,Curitiba,2947846076,247.0,0,NaN,-25.4419324,-49.2729613,1,1,0.0
1790.0,89,89,Jardim Botânico,1,Curitiba,2948007973,400.0,1,NaN,-25.4449997,-49.2468026,3,0,0.0
3500.0,235,113,Ecoville,2,Curitiba,2947436463,640.0,2,7,-25.44277572631836,-49.34889221191406,3,1,0.0
1360.0,72,72,Água Verde,1,Curitiba,2948930577,400.0,1,NaN,-25.4638349,-49.2854159,2,0,0.0
700.0,47,33,Cristo Rei,1,Curitiba,2948885035,377.0,0,NaN,-25.437929153442383,-49.23701477050781,1,0,0.0
2200.0,100,100,Vila Izabel,3,Curitiba,2948663672,300.0,1,NaN,-25.4563513,-49.29628,3,1,0.0
4090.0,129,129,Portão,5,Curitiba,2948621102,850.0,2,NaN,-25.4716113,-49.2930552,3,3,0.0
800.0,59,35,Centro,1,Curitiba,2948585438,600.0,1,NaN,-25.435062408447266,-49.26409912109375,1,0,0.0
4150.0,76,76,Centro,2,Curitiba,2948680095,1990.0,1,3,-25.4351674,-49.2754909,2,1,0.0
1200.0,124,90,Água Verde,2,Curitiba,2936068518,550.0,2,31,-25.469449996948242,-49.290199279785156,3,1,450000.0
1900.0,27,27,Mercês,1,Curitiba,2948680098,310.0,0,1,-25.4220894,-49.2918813,1,0,0.0
3300.0,37,37,Centro,1,Curitiba,2948725115,1100.0,1,3,-25.4351674,-49.2754909,1,0,0.0
