aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
1400.0,50,50,Sítio do Mandaqui,1,São Paulo,2948909823,450.0,1,NaN,-23.4812812,-46.6572609,2,0,0.0
1020.0,52,52,Sapopemba,1,São Paulo,2948646278,350.0,1,NaN,-23.6224269,-46.506485,2,0,0.0
850.0,63,63,Jardim Santa Emília,1,São Paulo,2948688440,580.0,1,NaN,-23.6515879,-46.6028946,2,0,0.0
1500.0,45,45,Liberdade,1,São Paulo,2948866260,930.0,1,NaN,-23.562894,-46.6327234,1,0,0.0
2350.0,100,86,Jardim Flor da Montanha,2,Guarulhos,2948296124,570.0,3,NaN,-23.4426438,-46.540112,1,2,0.0
879.0,50,50,Parque São Domingos,1,São Paulo,2948572082,50.0,0,NaN,-23.4923929,-46.7451954,1,0,0.0
6000.0,97,97,Vila Madalena,1,São Paulo,2948646387,915.0,1,NaN,-23.5489016,-46.6932911,3,0,0.0
2320.0,44,44,Vila Nova Conceição,1,São Paulo,2924889902,980.0,1,NaN,-23.5949916,-46.6712215,1,0,0.0
2800.0,38,38,Consolação,1,São Paulo,2948883431,473.0,1,NaN,-23.551711,-46.6531453,1,0,0.0
3500.0,54,54,Cambuí,2,Campinas,2948607602,400.0,1,NaN,-22.8954535,-47.0548712,1,1,0.0
1330.0,146,146,Centro,4,Santo André,2948626369,828.0,0,NaN,-23.6610144,-46.5265382,3,1,0.0
3750.0,110,110,Alphaville,2,Barueri,2948461872,800.0,2,NaN,-23.4855953,-46.8544661,3,2,0.0
2690.0,70,70,Moema,2,São Paulo,2948646282,1100.0,1,NaN,-23.6038463,-46.6652352,2,0,0.0
2600.0,64,64,Vila Madalena,2,São Paulo,2948776719,800.0,1,NaN,-23.5521558,-46.6958126,1,1,0.0
7000.0,155,75,Brooklin,1,São Paulo,2947348675,2800.0,1,16,-23.6040517,-46.69488439999998,0,1,0.0
